2022-05-01 12:41:14,627 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:14,741 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:14,855 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:14,968 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,073 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,189 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,295 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,386 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,461 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,529 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,597 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,662 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,732 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,800 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,868 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:15,934 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:16,000 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:16,066 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:16,133 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:41:16,205 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,274 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,350 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,422 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,494 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,567 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,638 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,713 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:41:16,783 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
